antecedent,consequent,ant_name,coq_name,support,confidence,lift,iteration
[23731],[21900],['Sour Cream'],['Organic Baby Spinach'],1615,0.0715805336406347,9.617566813250395,109
[16614 46663 47622],[47205],"['Organic Muenster Cheese Slices', 'Organic Ginger Root', 'Large Lemon']",['Organic Hass Avocado'],6,0.2727272727272727,41.75804880297426,109
[27541],[16614],['Lemon Verbena Hand Soap'],['Organic Muenster Cheese Slices'],24,0.004667444574095682,19.792953329212132,109
[15869 24827],[21134],"['Celery Hearts', 'Organic Romaine']",['Organic Strawberries'],45,0.21428571428571427,26.297373459012494,109
[15869],[47205],['Celery Hearts'],['Organic Hass Avocado'],1562,0.11380692167577414,17.425301627995232,109
[38559],[47205],['Pomegranate Arils'],['Organic Hass Avocado'],344,0.106865486175831,16.36247868597438,109
[15869 24827],[40703],"['Celery Hearts', 'Organic Romaine']",['Organic Grape Tomatoes'],18,0.08571428571428572,32.91151609125678,109
[27153],[27963],['Organic Black Beans'],['Organic Raspberries'],3178,0.08029916365565859,19.043399699740295,109
[21900 27153 27963],[13173],"['Organic Baby Spinach', 'Organic Black Beans', 'Organic Raspberries']",['Bag of Organic Bananas'],301,0.4275568181818182,36.613043716895746,109
[17945 21134 34966],[24849],"['Frozen Organic Wild Blueberries', 'Organic Strawberries', 'Red Vine Tomato']",['Banana'],35,0.3684210526315789,25.36108056442912,109
[17945],[21134],['Frozen Organic Wild Blueberries'],['Organic Strawberries'],4886,0.15776557959315465,19.361161705847493,109
[27518],[47205],['Organic Lacinato (Dinosaur) Kale'],['Organic Hass Avocado'],7873,0.17562684036762738,26.890725294339695,109
[22032 35137 47762],[21900],"['Organic Whole String Cheese', 'Organic Whole Cashews', 'Organic Avocado']",['Organic Baby Spinach'],12,0.1935483870967742,26.005178360997352,109
[45004],[47205],['Organic Zucchini'],['Organic Hass Avocado'],17109,0.15637224436076483,23.942599308640588,109
[22971 47205],[13173],"['Chocolate Peanut Butter Meal Bar', 'Organic Hass Avocado']",['Bag of Organic Bananas'],30,0.5357142857142857,45.87491002022058,109
[21900 27963],[47205],"['Organic Baby Spinach', 'Organic Raspberries']",['Organic Hass Avocado'],4993,0.26547213951509996,40.6471947115723,109
[5874],[47205],['Organic Lemon'],['Organic Hass Avocado'],22027,0.24138913546152918,36.9597774300711,109
[19177],[45004],"['Vegetable Chips, Taro, Sea Salt']",['Organic Zucchini'],126,0.05483028720626632,16.947970012788034,109
[ 5378 24961],[45004],"['Organic Mint Bunch', 'Organic Garlic']",['Organic Zucchini'],38,0.22093023255813954,68.28924572705345,109
[34123],[21134],['Organic Italian Parsley Bunch'],['Organic Strawberries'],8594,0.13636724266514336,16.7351347703916,109
[ 8515 21292 22932],[13173 47622],"['Organic Red Onion', 'Organic Spaghetti Squash', 'Organic Yellow Onion']","['Bag of Organic Bananas', 'Large Lemon']",7,0.04697986577181208,77.6396139758935,109
[ 8515 21292 47622],[13173],"['Organic Red Onion', 'Organic Spaghetti Squash', 'Large Lemon']",['Bag of Organic Bananas'],26,0.16455696202531644,14.091533542076196,109
[16756],[31714],['Organic Carrot Bunch'],['Organic Cilantro'],2680,0.07134870347691816,33.03147660299061,109
[40703],[22932],['Organic Grape Tomatoes'],['Organic Yellow Onion'],7022,0.07972478939122142,22.904457365603594,109
[ 9836 24181 45004],[13173 47205],"['Organic Broccoli', 'Red Peppers', 'Organic Zucchini']","['Bag of Organic Bananas', 'Organic Hass Avocado']",13,0.08074534161490683,42.16635424222519,109
[ 9836 40703 45004],[13173 47205],"['Organic Broccoli', 'Organic Grape Tomatoes', 'Organic Zucchini']","['Bag of Organic Bananas', 'Organic Hass Avocado']",62,0.15656565656565657,81.7607902187047,109
[21134 22932 38380],[13173 21900],"['Organic Strawberries', 'Organic Yellow Onion', 'Organic White Onions']","['Bag of Organic Bananas', 'Organic Baby Spinach']",32,0.10031347962382445,64.48662181848691,109
[21900 22932 38380],[13173],"['Organic Baby Spinach', 'Organic Yellow Onion', 'Organic White Onions']",['Bag of Organic Bananas'],127,0.3423180592991914,29.313778981474282,109
[22932 26206],[21134],"['Organic Yellow Onion', 'Limes']",['Organic Strawberries'],2277,0.17128027681660898,21.019699892843896,109
[ 5874 40703 46975],[21134 21900],"['Organic Lemon', 'Organic Grape Tomatoes', 'Asparagus']","['Organic Strawberries', 'Organic Baby Spinach']",34,0.10149253731343283,86.29942115535515,109
[40703],[39272],['Organic Grape Tomatoes'],['Organic Blueberries'],6055,0.06874588432979858,22.136655201694794,109
[39272 40703],[21134],"['Organic Blueberries', 'Organic Grape Tomatoes']",['Organic Strawberries'],2030,0.3352601156069364,41.14348217479411,109
[16756],[24849],['Organic Carrot Bunch'],['Banana'],5140,0.13684042383259679,9.419714178927594,109
[17945],[16756],['Frozen Organic Wild Blueberries'],['Organic Carrot Bunch'],823,0.026574103971585404,23.92610721127916,109
[22032 46663],[22932],"['Organic Whole String Cheese', 'Organic Ginger Root']",['Organic Yellow Onion'],244,0.16245006657789615,46.670937012002845,109
[46663],[22032],['Organic Ginger Root'],['Organic Whole String Cheese'],1502,0.027766480570858135,15.227059781621103,109
[ 5874 47622],[24961],"['Organic Lemon', 'Large Lemon']",['Organic Garlic'],43,0.13782051282051283,40.90863758646329,109
[34966 45004 46663],[21134],"['Red Vine Tomato', 'Organic Zucchini', 'Organic Ginger Root']",['Organic Strawberries'],34,0.1717171717171717,21.07331610520193,109
[34966 45004 46663],[47205],"['Red Vine Tomato', 'Organic Zucchini', 'Organic Ginger Root']",['Organic Hass Avocado'],42,0.21212121212121213,32.47848240231331,109
[48741],[21900],['Globe Eggplant'],['Organic Baby Spinach'],3523,0.19659598214285715,26.41465350018233,109
[48596],[48741],['Organic Cinnamon Apple Chips'],['Globe Eggplant'],22,0.00831758034026465,15.697161338779368,109
[48596],[27101],['Organic Cinnamon Apple Chips'],['Fresh Cauliflower'],132,0.0499054820415879,22.73535107625187,109
[40703],[13173],['Organic Grape Tomatoes'],['Bag of Organic Bananas'],17470,0.19834691977565339,16.985074581992553,109
[12573 45004 47205],[13173],"['Kiwi Sandia Sparkling Water', 'Organic Zucchini', 'Organic Hass Avocado']",['Bag of Organic Bananas'],14,0.2545454545454545,21.797533003547233,109
[12392 24961],[21900],"['Plain Goat Milk Yogurt', 'Organic Garlic']",['Organic Baby Spinach'],68,0.2085889570552147,28.026030667168925,109
[12392 47622],[24961],"['Plain Goat Milk Yogurt', 'Large Lemon']",['Organic Garlic'],36,0.11464968152866242,34.03094485047813,109
[24961 32296],[47622],"['Organic Garlic', 'Dijon Mustard']",['Large Lemon'],80,0.22160664819944598,46.61014680930502,109
[17791],[13173],['Carrots'],['Bag of Organic Bananas'],12979,0.17251737934151237,14.773209274536796,109
[27153],[21900],['Organic Black Beans'],['Organic Baby Spinach'],7307,0.18462743512646235,24.80655846745179,109
[2227],[10746],['Organic Frozen Mango Chunks'],['Organic Red Bell Pepper'],676,0.06180288901078808,34.90628368619655,109
[ 2227 10746 22932],[21900],"['Organic Frozen Mango Chunks', 'Organic Red Bell Pepper', 'Organic Yellow Onion']",['Organic Baby Spinach'],45,0.3284671532846715,44.1328756856342,109
[21900 47205],[13173],"['Organic Baby Spinach', 'Organic Hass Avocado']",['Bag of Organic Bananas'],12693,0.3510911957513899,30.06505042610844,109
[21900 39981],[13173],"['Organic Baby Spinach', 'Organic Dill']",['Bag of Organic Bananas'],664,0.251896813353566,21.570721474353594,109
[24961 30388 47762],[13173],"['Organic Garlic', 'Organic Cucumber', 'Organic Avocado']",['Bag of Organic Bananas'],279,0.28703703703703703,24.579890060216954,109
[30388 43765],[21900],"['Organic Cucumber', 'Organic Bell Pepper']",['Organic Baby Spinach'],628,0.22301136363636365,29.963826487446525,109
[26206 43765 49379],[21900 30388],"['Limes', 'Organic Bell Pepper', 'Organic Bunch Beets']","['Organic Baby Spinach', 'Organic Cucumber']",5,0.09433962264150944,190.52201708546565,109
[19475 45004],[21900],"['Organic Marinara Pasta Sauce', 'Organic Zucchini']",['Organic Baby Spinach'],176,0.27035330261136714,36.32469358361535,109
[ 5448 47622],[21900],"['Small Hass Avocado', 'Large Lemon']",['Organic Baby Spinach'],935,0.1782310331681281,23.947137336177033,109
[ 5448  7945 43119],[24961],"['Small Hass Avocado', 'Organic Unsalted Butter', 'Organic Bartlett Pear']",['Organic Garlic'],5,0.3125,92.75795731814353,109
[44629],[21134],['Sparkling Water Grapefruit'],['Organic Strawberries'],8445,0.10656823774370623,13.078168818470344,109
[27101 40703 44629],[21134 47205],"['Fresh Cauliflower', 'Organic Grape Tomatoes', 'Sparkling Water Grapefruit']","['Organic Strawberries', 'Organic Hass Avocado']",9,0.05113636363636364,40.851961880157965,109
[ 8274 48675],[21134],"['Apple Honeycrisp Organic', 'Organic Garnet Sweet Potato (Yam)']",['Organic Strawberries'],800,0.20817069997397866,25.54693232205221,109
[8274],[27963],['Apple Honeycrisp Organic'],['Organic Raspberries'],10855,0.12438124484370704,29.497713959603104,109
[27101 45004 46663],[13173],"['Fresh Cauliflower', 'Organic Zucchini', 'Organic Ginger Root']",['Bag of Organic Bananas'],207,0.3327974276527331,28.498497157256,109
[13173 27101 46663],[24961],"['Bag of Organic Bananas', 'Fresh Cauliflower', 'Organic Ginger Root']",['Organic Garlic'],316,0.3067961165048544,91.0648994564143,109
[26206 34455],[21134],"['Limes', 'Vanilla Ice Cream Sandwich']",['Organic Strawberries'],52,0.2857142857142857,35.06316461201666,109
[42753],[8274],['Cranberry Walnut Bread'],['Apple Honeycrisp Organic'],30,0.0379746835443038,14.715714640449008,109
[ 8274 33117],[24849],"['Apple Honeycrisp Organic', 'Organic Egg Whites']",['Banana'],188,0.18181818181818182,12.515857940887098,109
[43958],[13173],['Organic Peeled Whole Baby Carrots'],['Bag of Organic Bananas'],11626,0.20103404748318376,17.215181833344705,109
[48675],[47205],['Organic Garnet Sweet Potato (Yam)'],['Organic Hass Avocado'],10692,0.19615829159557488,30.03435421637226,109
[31714 36721],[47205],"['Organic Cilantro', 'Organic Sea Salt Roasted Seaweed Snacks']",['Organic Hass Avocado'],117,0.30548302872062666,46.77337581325315,109
[ 9700 47205 47622],[24849],"['Blueberry Scones', 'Organic Hass Avocado', 'Large Lemon']",['Banana'],3,0.3333333333333333,22.945739558293013,109
[26206 27963],[24849],"['Limes', 'Organic Raspberries']",['Banana'],2104,0.2143002648197189,14.751834191479476,109
[2449 5874],[47205],"['Taco Seasoning', 'Organic Lemon']",['Organic Hass Avocado'],128,0.3208020050125313,49.11890786515268,109
[26937],[24961],['Organic Large Green Asparagus'],['Organic Garlic'],2259,0.11285971223021583,33.499636383962624,109
[26206 45004],[24961],"['Limes', 'Organic Zucchini']",['Organic Garlic'],1951,0.1827463469464219,54.24376912032911,109
[47622],[13173],['Large Lemon'],['Bag of Organic Bananas'],20464,0.12727001343350416,10.898534107130633,109
[22932],[21134],['Organic Yellow Onion'],['Organic Strawberries'],17322,0.14715076964898569,18.058500806455655,109
[28282 40703],[21134],"['Organic Apricot', 'Organic Grape Tomatoes']",['Organic Strawberries'],26,0.5306122448979592,65.11730570803094,109
[34123 48675],[27963],"['Organic Italian Parsley Bunch', 'Organic Garnet Sweet Potato (Yam)']",['Organic Raspberries'],278,0.08985132514544279,21.308748689257555,109
[15258 27101 48675],[34123],"['Organic Rosemary', 'Fresh Cauliflower', 'Organic Garnet Sweet Potato (Yam)']",['Organic Italian Parsley Bunch'],16,0.26666666666666666,143.1019543749967,109
[45205],[39272],['Organic Cinnamon Graham Crackers'],['Organic Blueberries'],145,0.06102693602693603,19.65109990240672,109
[49379],[34966],['Organic Bunch Beets'],['Red Vine Tomato'],440,0.02918933262571315,17.427698641284028,109
[45004],[13173],['Organic Zucchini'],['Bag of Organic Bananas'],23673,0.2163656637297554,18.52807666279329,109
[ 5874 17791],[22932],"['Organic Lemon', 'Carrots']",['Organic Yellow Onion'],1212,0.23497479643272587,67.50686013699733,109
[ 5874 17791 26206],[22932],"['Organic Lemon', 'Carrots', 'Limes']",['Organic Yellow Onion'],243,0.2565997888067582,73.71959170574407,109
[15646 17791 47205],[21134],"['Baby Seedless Cucumbers', 'Carrots', 'Organic Hass Avocado']",['Organic Strawberries'],16,0.2962962962962963,36.361800338387646,109
[12611 38449],[24849],"['Yellow Grape Tomatoes', 'Organic Whole Milk Washington Black Cherry Yogurt']",['Banana'],3,0.14285714285714285,9.833888382125577,109
[8274],[24849],['Apple Honeycrisp Organic'],['Banana'],17839,0.20440691172426437,14.070803281019883,109
[38449],[8274],['Organic Whole Milk Washington Black Cherry Yogurt'],['Apple Honeycrisp Organic'],122,0.08100929614873838,31.39222171417608,109
[ 8274 12611],[21134],"['Apple Honeycrisp Organic', 'Yellow Grape Tomatoes']",['Organic Strawberries'],101,0.23877068557919623,29.302195485456,109
[17945 31368],[24849],"['Frozen Organic Wild Blueberries', 'Whole Wheat English Muffins']",['Banana'],30,0.2112676056338028,14.543074367932192,109
[41541 45004],[47205],"['Organic Crushed Fire Roasted Tomatoes', 'Organic Zucchini']",['Organic Hass Avocado'],108,0.14979195561719832,22.935072574171716,109
[41541],[28286],['Organic Crushed Fire Roasted Tomatoes'],['Organic Shredded Carrots'],122,0.016705463508147337,26.850617421280674,109
[22932 28286],[47205],"['Organic Yellow Onion', 'Organic Shredded Carrots']",['Organic Hass Avocado'],401,0.23019517795637198,35.24583874280893,109
[27101],[5874],['Fresh Cauliflower'],['Organic Lemon'],5096,0.06864686468646865,25.441645498672234,109
[ 5874 21134 45004],[13173],"['Organic Lemon', 'Organic Strawberries', 'Organic Zucchini']",['Bag of Organic Bananas'],659,0.4290364583333333,36.73974998668013,109
[5874],[21134],['Organic Lemon'],['Organic Strawberries'],15829,0.17346659214693538,21.28800686296743,109
[ 2449 40703],[21134],"['Taco Seasoning', 'Organic Grape Tomatoes']",['Organic Strawberries'],185,0.24246395806028834,29.755437858821477,109
[21900 40703 47205],[21134],"['Organic Baby Spinach', 'Organic Grape Tomatoes', 'Organic Hass Avocado']",['Organic Strawberries'],968,0.28800952097590005,35.344838353321165,109
[4797],[21134],['Shredded Parmesan'],['Organic Strawberries'],6290,0.16689219666215607,20.481189974091823,109
[13173 15589 21900],[47622],"['Bag of Organic Bananas', 'Organic Baby Romaine Lettuce', 'Organic Baby Spinach']",['Large Lemon'],11,0.13580246913580246,28.563100768479973,109
[21900 30230],[47205],"['Organic Baby Spinach', 'Organic Large Brown Grade AA Cage Free Eggs']",['Organic Hass Avocado'],1140,0.27968596663395484,42.82351422876163,109
[21900 30230],[13173],"['Organic Baby Spinach', 'Organic Large Brown Grade AA Cage Free Eggs']",['Bag of Organic Bananas'],1269,0.31133464180569187,26.660570867492275,109
[34240],[27963],['Organic Baby Broccoli'],['Organic Raspberries'],3360,0.10137887336692514,24.04257178710559,109
[22846 34240],[27963],"['Bunny-Luv Fresh Organic Carrots', 'Organic Baby Broccoli']",['Organic Raspberries'],35,0.14522821576763487,34.4416907304651,109
[24486],[27518],['Organic Whole Strawberries'],['Organic Lacinato (Dinosaur) Kale'],1415,0.04332782166697287,32.687342591783086,109
[24486 27518 45004],[27963],"['Organic Whole Strawberries', 'Organic Lacinato (Dinosaur) Kale', 'Organic Zucchini']",['Organic Raspberries'],58,0.31693989071038253,75.16408322099004,109
[21706 27842 34123],[47205],"['Sparkling Lemon Water', 'Organic Whole Milk', 'Organic Italian Parsley Bunch']",['Organic Hass Avocado'],11,0.23404255319148937,35.83492131319068,109
[13173 14989 42582],[21134],"['Bag of Organic Bananas', 'Green Beans', 'Organic Extra Firm Tofu']",['Organic Strawberries'],29,0.26605504587155965,32.65056154238248,109
[14989 27897],[21134],"['Green Beans', 'Vegan Apple Maple Breakfast Sausage']",['Organic Strawberries'],4,0.19047619047619047,23.375443074677772,109
[13626],[24961],['Organic Snipped Green Beans'],['Organic Garlic'],1352,0.07430612805715855,22.055950895367744,109
[27680],[24961],['Black Beans No Salt Added'],['Organic Garlic'],610,0.10276280323450135,30.5026166922197,109
[13626],[21134],['Organic Snipped Green Beans'],['Organic Strawberries'],4128,0.2268755152514427,27.84240738194101,109
[27680 48675],[24961],"['Black Beans No Salt Added', 'Organic Garnet Sweet Potato (Yam)']",['Organic Garlic'],75,0.22189349112426035,65.8636383324096,109
[24849 45004],[21900],"['Banana', 'Organic Zucchini']",['Organic Baby Spinach'],4661,0.23009330108110776,30.915356227138506,109
[24961],[24849],['Organic Garlic'],['Banana'],19821,0.17396608622384496,11.975341519403678,109
[21900 22032 34445],[13173],"['Organic Baby Spinach', 'Organic Whole String Cheese', 'Original Veggie Straws']",['Bag of Organic Bananas'],54,0.2151394422310757,18.423071434415277,109
[21134 26206 45004],[24961],"['Organic Strawberries', 'Limes', 'Organic Zucchini']",['Organic Garlic'],359,0.19574700109051255,58.102694311386735,109
[ 7945 26206 45004],[21134 24961],"['Organic Unsalted Butter', 'Limes', 'Organic Zucchini']","['Organic Strawberries', 'Organic Garlic']",12,0.08,166.32006393311613,109
[ 7960 38380],[21134],"['Gluten Free Whole Grain Bread', 'Organic White Onions']",['Organic Strawberries'],20,0.1342281879194631,16.47262767007494,109
[18231],[21900],['Organic Spinach Bunch'],['Organic Baby Spinach'],378,0.030686799805163176,4.123081128351017,109
[18231],[26937],['Organic Spinach Bunch'],['Organic Large Green Asparagus'],273,0.022162688748173405,37.446159073715215,109
[12842],[21134],['Chopped Walnuts'],['Organic Strawberries'],1330,0.1270174768407984,15.587721446751747,109
[12842 27101 34966],[21134 47762],"['Chopped Walnuts', 'Fresh Cauliflower', 'Red Vine Tomato']","['Organic Strawberries', 'Organic Avocado']",1,0.02857142857142857,38.53941334670435,109
[19505 24961 47205],[26206],"['Corn Tortillas', 'Organic Garlic', 'Organic Hass Avocado']",['Limes'],98,0.30246913580246915,69.74795967156756,109
[21134 37062 47205],[13173 24961 26206],"['Organic Strawberries', 'Serrano Chile Peppers', 'Organic Hass Avocado']","['Bag of Organic Bananas', 'Organic Garlic', 'Limes']",5,0.05263157894736842,569.2206419470486,109
[21134 24961 26206],[47205],"['Organic Strawberries', 'Organic Garlic', 'Limes']",['Organic Hass Avocado'],726,0.275626423690205,42.20194605676442,109
[34123],[17791],['Organic Italian Parsley Bunch'],['Carrots'],5467,0.08674886149061424,38.99577236226657,109
[27963 30388 47205],[21134],"['Organic Raspberries', 'Organic Cucumber', 'Organic Hass Avocado']",['Organic Strawberries'],1015,0.348079561042524,42.71669831419382,109
[46688],[22932],['Multigrain Tortilla Chips'],['Organic Yellow Onion'],299,0.03923884514435696,11.27308660891122,109
[21900 46688],[21134],"['Organic Baby Spinach', 'Multigrain Tortilla Chips']",['Organic Strawberries'],204,0.2698412698412698,33.11521102246017,109
[22932 40703],[21900],"['Organic Yellow Onion', 'Organic Grape Tomatoes']",['Organic Baby Spinach'],1772,0.25234975790373115,33.90573572881198,109
[27518 46203],[21900],"['Organic Lacinato (Dinosaur) Kale', 'Red Grapefruit']",['Organic Baby Spinach'],58,0.20863309352517986,28.03196084716621,109
[16756],[47205],['Organic Carrot Bunch'],['Organic Hass Avocado'],6459,0.17195569990948298,26.328626532155887,109
[33117],[47205],['Organic Egg Whites'],['Organic Hass Avocado'],2817,0.1392211129781556,21.316540777202782,109
[ 8274 17946],[13173],"['Apple Honeycrisp Organic', 'Mild Cheddar Cheese Sticks']",['Bag of Organic Bananas'],249,0.3204633204633205,27.44228851660042,109
[ 8274  8515 26206],[13173],"['Apple Honeycrisp Organic', 'Organic Red Onion', 'Limes']",['Bag of Organic Bananas'],217,0.31771595900439237,27.207023258453905,109
[12842],[31037],['Chopped Walnuts'],['Sea Salt Pita Chips'],81,0.007735650845191481,15.093336174494912,109
[31037 47622],[21134],"['Sea Salt Pita Chips', 'Large Lemon']",['Organic Strawberries'],196,0.13101604278074866,16.078429761927424,109
[17197 47622],[21134],"['Wild Blueberry Preserves', 'Large Lemon']",['Organic Strawberries'],30,0.17142857142857143,21.037898767209995,109
[19054 21900],[13173],"['Organic Large Extra Fancy Fuji Apple', 'Organic Baby Spinach']",['Bag of Organic Bananas'],4268,0.36840742339231763,31.547893811287242,109
[21414],[19054],['Organic Creamy Tomato Soup'],['Organic Large Extra Fancy Fuji Apple'],303,0.04032472717593825,17.471382376551915,109
[21134 22932 41857],[21900],"['Organic Strawberries', 'Organic Yellow Onion', 'Sea Salt Baked Potato Chips']",['Organic Baby Spinach'],6,0.18181818181818182,24.42910694517933,109
[12611],[22932],['Yellow Grape Tomatoes'],['Organic Yellow Onion'],384,0.04858914336327977,13.959371621971142,109
[25135],[22932],['Organic Plain Greek Whole Milk Yogurt'],['Organic Yellow Onion'],999,0.08276719138359569,23.778521345646382,109
[ 8515 22932 25135],[13173],"['Organic Red Onion', 'Organic Yellow Onion', 'Organic Plain Greek Whole Milk Yogurt']",['Bag of Organic Bananas'],28,0.3146067415730337,26.940771127979726,109
[10746 24849 24961],[47205],"['Organic Red Bell Pepper', 'Banana', 'Organic Garlic']",['Organic Hass Avocado'],159,0.1762749445676275,26.989958372654094,109
[21900 27153],[13173],"['Organic Baby Spinach', 'Organic Black Beans']",['Bag of Organic Bananas'],2132,0.2917750102641303,24.98561770509637,109
[35558],[40703],['Organic Tortilla Chips'],['Organic Grape Tomatoes'],212,0.01470894331506279,5.64775895365585,109
[35558],[24961],['Organic Tortilla Chips'],['Organic Garlic'],277,0.019218760840907515,5.704617592923223,109
[21476 21935],[21134],"['Organic Turkish Figs', 'Green Bell Pepper']",['Organic Strawberries'],23,0.41818181818181815,51.319722750315286,109
[21935],[22932],['Green Bell Pepper'],['Organic Yellow Onion'],8273,0.14262563572105852,40.97549604784282,109
[21134 34123 45004],[44356 47205],"['Organic Strawberries', 'Organic Italian Parsley Bunch', 'Organic Zucchini']","['Organic Small Bunch Celery', 'Organic Hass Avocado']",77,0.06949458483754513,193.0544382328677,109
[39272 44356 47205],[21134],"['Organic Blueberries', 'Organic Small Bunch Celery', 'Organic Hass Avocado']",['Organic Strawberries'],310,0.3471444568868981,42.601941325910495,109
[34123 39272],[47205],"['Organic Italian Parsley Bunch', 'Organic Blueberries']",['Organic Hass Avocado'],585,0.2102803738317757,32.19662641350819,109
[16756 19054 47622],[13173 22932],"['Organic Carrot Bunch', 'Organic Large Extra Fancy Fuji Apple', 'Large Lemon']","['Bag of Organic Bananas', 'Organic Yellow Onion']",14,0.0875,115.71016559787284,109
[27842],[47762],['Organic Whole Milk'],['Organic Avocado'],13572,0.09503336530988075,17.445845573603766,109
[33117],[27842],['Organic Egg Whites'],['Organic Whole Milk'],1081,0.05342492833844025,12.651392481917716,109
[21134 30388 40703],[13173],"['Organic Strawberries', 'Organic Cucumber', 'Organic Grape Tomatoes']",['Bag of Organic Bananas'],708,0.3518886679920477,30.13334049837153,109
[13163 30388 47622],[13173 21134],"['Organic Milk Reduced Fat, 2% Milkfat', 'Organic Cucumber', 'Large Lemon']","['Bag of Organic Bananas', 'Organic Strawberries']",7,0.22580645161290322,118.02683568638751,109
[46663],[21900],['Organic Ginger Root'],['Organic Baby Spinach'],11122,0.20560505786223982,27.625113708425424,109
[19675],[27101],['Organic Russet Potato'],['Fresh Cauliflower'],2262,0.0671057315770737,30.57123795261807,109
